metal,bare_mu,bare_alpha,bare_pzc,bare_E,no3_mu,no3_alpha,no3_E_s,no3_E,t_state_mu,t_state_alpha,t_state_E_s,hrxn_mu,hrxn_alpha,hrxn_E_s,o_mu,o_alpha,o_E
saa_rh1cu_111,0.011544,2.820418947,-0.0068,-113.0642328,0.470765,3.102980763,-137.470829,-137.5174754,0.191882,3.154200907,-136.70235778,0.415408,2.994829896,-137.5732701,0.126609,2.797283201,-119.5324123
saa_ni1cu_111,-0.000439,2.804781804,-0.0295,-111.2981192,0.433286,3.071742474,-135.8594463,-135.8781233,0.405937,3.011082584,-135.3713586,0.406144,2.978924051,-136.3848963,0.109043,2.786987901,-118.0077664
saa_ru1cu_111,0.018396,2.819262238,0.0262,-113.8853102,0.444634,3.119464188,-138.4829415,-138.4817492,0.282469,3.198806274,-138.1472,0.416139,2.987808823,-139.6368848,0.103138,2.801327072,-120.8941926
saa_pd1cu_111,0.001959,2.821324174,-0.0186,-111.7006878,0.50581,3.101112783,-135.9454507,-135.9681644,0.298187,3.2975692,-135.4719838,0.487733,3.035367916,-136.0992041,0.145096,2.798460822,-117.7878857
cu_111,-0.009418,2.8154,-0.0417,-109.9115075,0.450634,3.0692,-134.2787787,-134.2971144,0.319439,3.295136297,-133.7579334,0.485008,3.000248357,-134.512018,0.126211,2.788525382,-116.2665292
pd_111,0.001233,3.391388762,0.4995,-158.07658,0.39279,3.771745769,-181.9544288,-181.9605325,0.15219,3.835145448,-181.2395024,0.291912,3.640377306,-182.0329817,0.076401,3.383357087,-164.0054177
rh_111,-0.008951,3.204723382,0.3373,-224.9456597,0.332816,3.510345315,-249.3643118,-249.3712165,0.093536,3.533263472,-248.753781,0.273656,3.391471375,-250.2009879,0.079528,3.19,-231.6105124
ru_111,-0.016143,3.207184011,0.2699,-291.5176403,0.301035,3.466226881,-316.397191,-316.4040857,0.232104,3.460137952,-316.1465185,0.26693,3.337430149,-317.9574552,0.077635,3.182832877,-298.6414776
ni_111,-0.001165,2.5458,0.2787,-167.8543695,0.347497,2.811,-192.349123,-192.349123,nan,nan,nan,nan,nan,nan,0.089377,0,-174.8151151
saa_rh1cu_100,0.033849,2.93836528,-0.164,-110.7731293,0.53137,3.223876305,-135.4592602,-135.4927296,0.301812,3.268111073,-134.7207809,0.448783,3.103149599,-136.4422231,0.106676,2.895996807,-117.3204871
saa_ni1cu_100,0.01061,2.932338065,-0.2397,-109.1589842,0.508652,3.176180361,-133.9375375,-133.9755211,0.295787,3.27463085,-133.2949023,0.464438,3.065377048,-134.9228204,0.080704,2.882827664,-115.8847086
saa_ru1cu_100,0.032458,2.94132533,-0.1689,-111.4539262,0.489017,3.235259787,-136.423403,-136.4570258,0.327868,3.3033528,-136.1186519,0.474673,3.099286796,-137.8821508,0.103184,2.905068613,-118.5033943
saa_pd1cu_100,0.018973,2.943856795,-0.2192,-109.6617978,0.611322,3.217919837,-134.057657,-134.0949519,nan,nan,nan,nan,nan,nan,0.116146,2.889235425,-115.8657062
cu_100,-0.012633,2.923763158,-0.369,-107.8207082,0.547079,3.30901602,-132.4824008,-132.5244859,0.361661,3.310745002,-131.5899533,0.514568,3.064801549,-133.2330161,0.074063,2.882941684,-114.3555547
pd_100,-0.002582,3.53492914,0.2679,-155.2752173,0.465486,3.907106932,-179.4030509,-179.4117619,0.412027,4.146167266,-178.4116968,0.361785,3.779570195,-179.3974087,0.084643,3.524656074,-161.0067822
rh_100,-0.004974,3.371996428,0.324,-219.6319158,0.337325,3.686637651,-244.2780767,-244.2848911,0.249854,3.746491455,-243.4990383,0.339246,3.570884201,-245.3978736,0.056859,3.353655405,-226.3663482
ni_100,-0.000627,2.664,0.0776,-164.3772916,0.394503,2.960386432,-189.1530724,-189.1310082,nan,nan,nan,nan,nan,nan,0.041849,2.639621559,-171.4940061
